Symbol,Company Name,Market Cap,Stock Price,Industry,Volume,Revenue,Employees,Founded
MSFT,Microsoft Corporation,3073557477400,413.54,Software - Infrastructure,16346811,236584000000,221000,1975
AAPL,Apple Inc,2805947649000,181.71,Consumer Electronics,76249821,381623000000,161000,1977
NVDA,NVIDIA Corporation,2303500000000,921.40,Semiconductors,36942636,60922000000,29600,1993
GOOGL,Alphabet Inc.,2089125712023,168.10,Internet Content & Information,21268591,318146000000,182502,1998
GOOG,Alphabet Inc.,2088769047682,169.83,Internet Content & Information,15057181,318146000000,182381,1998
AMZN,"Amazon.com, Inc.",1961951640000,188.70,Internet Retail,33943144,590740000000,1525000,1994
META,"Meta Platforms, Inc.",1181213245790,465.68,Internet Content & Information,15039623,142711000000,67317,2004
AVGO,Broadcom Inc.,607225170510,1310.31,Semiconductors,1457316,38865000000,20000,
TSLA,"Tesla, Inc.",589236592000,184.76,Auto Manufacturers,83965337,94745000000,140473,2003
ASML,ASML Holding N.V.,360736631360,916.92,Semiconductor Equipment & Materials,605611,28372065217,42416,1984
COST,Costco Wholesale Corporation,335488600800,756.45,Discount Stores,1766610,248828000000,316000,1976
NFLX,"Netflix, Inc.",257273176050,596.97,Entertainment,3663488,34932234000,13000,1997
AMD,"Advanced Micro Devices, Inc.",251707766200,155.78,Semiconductors,44140615,22800000000,26000,1969
PEP,"PepsiCo, Inc.",241715577800,175.82,Beverages - Non-Alcoholic,2903073,91875000000,318000,1898
AZN,AstraZeneca PLC,234843122012,75.76,Drug Manufacturers - General,5074888,47611000000,89900,1992
ADBE,Adobe Inc.,223102680000,493.59,Software - Infrastructure,2057140,19936000000,29945,1982
LIN,Linde plc,205083059920,426.62,Specialty Chemicals,1483729,32761000000,66323,1879
QCOM,QUALCOMM Incorporated,202944600000,181.85,Semiconductors,6518106,36406000000,50000,1985
CSCO,"Cisco Systems, Inc.",190757340900,47.11,Communication Equipment,11123813,57233000000,84900,1984
TMUS,"T-Mobile US, Inc.",190273284500,162.37,Telecom Services,6017420,78520000000,67000,1994
PDD,PDD Holdings Inc.,184195315405,138.40,Internet Retail,6497985,34927955571,17403,2015
INTU,Intuit Inc.,177685872560,634.64,Software - Application,799729,15094000000,18200,1983
AMAT,"Applied Materials, Inc.",173541147420,208.86,Semiconductor Equipment & Materials,3458333,26485000000,34000,1967
TXN,Texas Instruments Incorporated,165407264940,181.67,Semiconductors,4016963,16801000000,34000,1930
AMGN,Amgen Inc.,160497022120,299.48,Drug Manufacturers - General,4712696,29532000000,26700,1980
CMCSA,Comcast Corporation,152513160900,38.49,Telecom Services,22510248,121939000000,186000,1963
ISRG,"Intuitive Surgical, Inc.",135870133300,383.05,Medical Instruments & Supplies,850785,7318500000,13676,1995
MU,"Micron Technology, Inc.",133028358100,120.13,Semiconductors,22096816,18312000000,43000,1978
INTC,Intel Corporation,131839290000,30.97,Semiconductors,34265427,55237000000,124800,1968
HON,Honeywell International Inc.,126981270000,195.00,Conglomerates,2156302,36903000000,95000,
BKNG,Booking Holdings Inc.,122085055275,3598.41,Travel Services,327897,22002000000,23600,1997
LRCX,Lam Research Corporation,120875284140,924.54,Semiconductor Equipment & Materials,576897,14241136000,17200,1980
SNY,Sanofi,115129265457,49.33,Drug Manufacturers - General,1185360,51604444444,86088,
ARM,Arm Holdings plc,109983500622,106.98,Semiconductors,7307596,2955000000,5963,1990
ABNB,"Airbnb, Inc.",104414195502,162.00,Travel Services,2864214,9917000000,6907,2008
VRTX,Vertex Pharmaceuticals Incorporated,103968970000,402.50,Biotechnology,1444546,9869200000,5400,1989
REGN,"Regeneron Pharmaceuticals, Inc.",103884940880,958.64,Biotechnology,339341,13100100000,13450,1988
ADI,"Analog Devices, Inc.",100828014560,203.32,Semiconductors,2106924,11568613000,26000,1965
ADP,"Automatic Data Processing, Inc.",99351297340,242.74,Staffing & Employment Services,1039905,18912000000,63000,1949
PANW,"Palo Alto Networks, Inc.",97114167000,300.57,Software - Infrastructure,2669900,7527400000,13948,2005
KLAC,KLA Corporation,96722683200,718.38,Semiconductor Equipment & Materials,754664,9598649000,15000,1975
MDLZ,"Mondelez International, Inc.",93801304800,69.93,Confectioners,5516557,36140000000,91000,
MELI,"MercadoLibre, Inc.",83845894990,1653.85,Internet Retail,589135,15769000000,58313,1999
SNPS,"Synopsys, Inc.",83218853760,545.54,Software - Infrastructure,660970,6130509000,20300,1986
SBUX,Starbucks Corporation,82573830000,72.90,Restaurants,18401424,36530200000,381000,1971
GILD,"Gilead Sciences, Inc.",81726413800,65.54,Drug Manufacturers - General,7061493,27116000000,18000,1987
CDNS,"Cadence Design Systems, Inc.",77609895460,285.19,Software - Application,982041,4077399000,11200,1988
CRWD,"CrowdStrike Holdings, Inc.",76868215590,317.81,Software - Infrastructure,2810338,3055555000,7925,2011
CME,CME Group Inc.,74885200000,208.00,Financial Data & Stock Exchanges,1562598,5625200000,3565,1898
CTAS,Cintas Corporation,69573179100,685.70,Specialty Business Services,345153,9410151000,44500,1968
PYPL,"PayPal Holdings, Inc.",68631340500,65.61,Credit Services,10535639,30430000000,27200,1998
MAR,"Marriott International, Inc.",67641002040,236.82,Lodging,1044530,24075000000,411000,1927
NXPI,NXP Semiconductors N.V.,66383236920,259.63,Semiconductors,2195038,13281000000,34200,2006
CSX,CSX Corporation,65842042400,33.68,Railroads,8833112,14632000000,23000,
EQIX,"Equinix, Inc.",65641703822,693.73,REIT - Specialty,607850,8188136000,13151,
WDAY,"Workday, Inc.",65476419750,249.91,Software - Application,2858344,7259000000,18800,2005
NTES,"NetEase, Inc.",63642881764,101.86,Electronic Gaming & Multimedia,2596639,14593534415,29128,1997
CEG,Constellation Energy Corporation,62299409838,197.70,Utilities - Renewable,2677668,24918000000,13871,1999
MRVL,"Marvell Technology, Inc.",60464120000,69.82,Semiconductors,5908933,5507700000,6577,1995
ORLY,"O'Reilly Automotive, Inc.",59986498894,1016.09,Specialty Retail,340813,15812250000,90302,1957
MNST,Monster Beverage Corporation,56423500800,54.22,Beverages - Non-Alcoholic,9931384,7140027000,6003,
COIN,"Coinbase Global, Inc.",55720477753,226.93,Financial Data & Stock Exchanges,9393393,3973424000,3416,2012
ROP,"Roper Technologies, Inc.",55174121880,515.54,Software - Application,569189,6388800000,16800,
PCAR,PACCAR Inc,55113846750,105.15,Farm & Heavy Construction Machinery,2678953,35398400000,32400,1905
CPRT,"Copart, Inc.",53591891880,55.74,Specialty Business Services,2583230,4059987000,10200,1982
DXCM,"DexCom, Inc.",51559730600,129.65,Medical Devices,1410213,3801800000,9600,1999
IBKR,"Interactive Brokers Group, Inc.",51375481418,122.01,Capital Markets,723725,4340000000,2932,1977
MCHP,Microchip Technology Incorporated,50666778880,93.76,Semiconductors,6971930,8541300000,22600,1989
SMCI,"Super Micro Computer, Inc.",48617324640,830.35,Computer Hardware,5270174,11819523000,5126,1993
DASH,"DoorDash, Inc.",48084192792,117.59,Internet Content & Information,3918417,9113000000,19300,2013
TEAM,Atlassian Corporation,47152372764,181.77,Software - Application,1455963,4166111000,10726,2002
AEP,"American Electric Power Company, Inc.",46813704731,88.81,Utilities - Regulated Electric,2269428,19317100000,17250,1906
MRNA,"Moderna, Inc.",46805101200,122.13,Biotechnology,3902264,5153000000,5600,2010
ADSK,"Autodesk, Inc.",46355380500,216.70,Software - Application,1150468,5346000000,13700,1982
KDP,Keurig Dr Pepper Inc.,45492929200,33.56,Beverages - Non-Alcoholic,4914322,14929000000,28100,1981
FTNT,"Fortinet, Inc.",44873853110,58.81,Software - Infrastructure,14425486,5304800000,13568,2000
TTD,"The Trade Desk, Inc.",44674213192,91.36,Software - Application,3135026,1946120000,3115,2009
JD,"JD.com, Inc.",44521520977,32.71,Internet Retail,7983835,152984767278,517124,
ROST,"Ross Stores, Inc.",44421471360,132.48,Apparel Retail,2198112,20376941000,108000,1982
PAYX,"Paychex, Inc.",43422336690,120.63,Staffing & Employment Services,812067,5212800000,16600,1979
KHC,The Kraft Heinz Company,43399082000,35.74,Packaged Foods,8566794,26562000000,36000,1869
LULU,Lululemon Athletica Inc.,42307941280,350.24,Apparel Retail,1289676,9619278000,38000,1998
DDOG,"Datadog, Inc.",42138053080,126.97,Software - Application,5653365,2128359000,5200,2010
BIDU,"Baidu, Inc.",40835460442,113.33,Internet Content & Information,1792146,18984203103,39800,2000
IDXX,"IDEXX Laboratories, Inc.",39383405751,476.87,Diagnostics & Research,283079,3724853000,11000,
ODFL,"Old Dominion Freight Line, Inc.",39220501320,180.18,Trucking,2047888,5866152000,22902,1934
CHTR,"Charter Communications, Inc.",39196467420,271.47,Telecom Services,1229883,54633000000,101100,1993
FAST,Fastenal Company,38211786780,66.74,Industrial Distribution,5329166,7382700000,23201,1967
EXC,Exelon Corporation,37551126500,37.55,Utilities - Regulated Electric,5753850,22208000000,19962,
CSGP,"CoStar Group, Inc.",37281624600,91.30,Real Estate Services,1215459,2527034000,6152,1987
ACGL,Arch Capital Group Ltd.,36441585300,97.14,Insurance - Diversified,1201964,13634000000,6400,1995
GEHC,GE HealthCare Technologies Inc.,36425935728,79.80,Health Information Services,2172109,19495000000,51000,1892
FANG,"Diamondback Energy, Inc.",36415244600,204.19,Oil & Gas Exploration & Production,1625754,8714000000,1032,2007
MPWR,"Monolithic Power Systems, Inc.",35674611300,733.05,Semiconductors,390686,1827892000,3564,1997
NDAQ,"Nasdaq, Inc.",35514432800,61.60,Financial Data & Stock Exchanges,2641970,6205000000,8525,1971
